fund_name,fund_extended_name,category,fund_family,net_assets,ytd_return,fund_yield,morningstar_rating,inception_date,investment,size,currency
CTTLX,Calvert Responsible Municipal Income Fund Class A,Muni National Interm,Calvert Research and Management,152220000,2.68,2.43,3,22/8/1983,Blend,Medium,USD
CTTRX,Transamerica Dynamic Allocation Fund Class C,Tactical Allocation,Transamerica,16100000,5.85,0.08,3,30/10/2012,Blend,Large,USD
CTVAX,Catalyst Small Cap Insider Buying Fund Class A,Small Growth,Catalyst Mutual Funds,13110000,4.55,0,1,30/7/2006,Growth,Small,USD
CTVCX,Catalyst Small Cap Insider Buying Fund Class C,Small Growth,Catalyst Mutual Funds,13110000,4.28,0,1,30/7/2006,Growth,Small,USD
CTVIX,Catalyst Small Cap Insider Buying Fund Class I,Small Growth,Catalyst Mutual Funds,13110000,4.59,0.19,1,26/3/2009,Growth,Small,USD
CTXEX,Virtus Newfleet CA Tax-Exempt Bond Fund Class I,Muni California Long,Virtus,17870000,0.97,2.89,2,28/9/2006,Blend,Medium,USD
CTYCX,American Funds College 2030 Fund Class 529-C,Allocation - 50% to 70% Equity,American Funds,1670000000,7.15,0.89,3,13/9/2012,Blend,Large,USD
CTYRX,Columbia Global Technology Growth Fund Advisor Class,Technology,Columbia,1430000000,19.66,0,5,7/11/2012,Growth,Large,USD
CUBAX,Calvert Absolute Return Bond Fund Class A,Nontraditional Bond,Calvert Research and Management,152500000,3.25,3.23,3,29/9/2014,Value,Small,USD
CUBCX,Calvert Absolute Return Bond Fund Class C,Nontraditional Bond,Calvert Research and Management,152500000,3.13,2.5,3,29/9/2014,Value,Small,USD
CUBIX,Calvert Absolute Return Bond Fund Class I,Nontraditional Bond,Calvert Research and Management,152500000,3.33,3.49,3,29/9/2014,Value,Small,USD
CUGAX,Aberdeen Global Unconstrained Fixed Income Fund Class A,World Bond,Aberdeen,13010000,2.16,4.78,3,29/11/2001,,,USD
CUGUX,Columbia Quality Income Fund Class R,Intermediate-Term Bond,Columbia,1900000000,2.5,2.05,3,29/2/2016,Blend,Medium,USD
CUGYX,Columbia Quality Income Fund Institutional 3 Class,Intermediate-Term Bond,Columbia,1900000000,2.48,2.7,4,30/9/2014,Blend,Medium,USD
CUGZX,Columbia Quality Income Fund Institutional Class,Intermediate-Term Bond,Columbia,1900000000,2.62,2.54,4,26/9/2010,Blend,Medium,USD
CUHAX,Victory US 500 Enhanced Volatility Wtd Index Fund Class A,Large Blend,Victory,102020000,6.67,0.77,2,18/11/2012,Blend,Large,USD
CUHCX,Victory US 500 Enhanced Volatility Wtd Index Fund Class C,Large Blend,Victory,102020000,6.43,0.23,2,18/11/2012,Blend,Large,USD
CUHIX,Victory US 500 Enhanced Volatility Wtd Index Fund Class I,Large Blend,Victory,102020000,6.65,1.01,2,18/11/2012,Blend,Large,USD
CULAX,Calvert Ultra-Short Duration Income Fund Class A,Ultrashort Bond,Calvert Research and Management,996510000,1.32,2.41,4,30/10/2006,Value,Medium,USD
CULIX,Calvert Ultra-Short Duration Income Fund Class I,Ultrashort Bond,Calvert Research and Management,996510000,1.39,2.66,4,30/1/2014,Value,Medium,USD
CULRX,Calvert Ultra-Short Duration Income Fund Class R6,Ultrashort Bond,Calvert Research and Management,996510000,1.4,2.69,4,2/10/2017,Value,Medium,USD
CULYX,Calvert Ultra-Short Duration Income Y,Ultrashort Bond,Calvert Investments,889700000,1.53,1.43,4,27/5/2010,Value,Medium,USD
CURAX,MainStay Cushing Energy Income Fund Class A,Equity Energy,MainStay,33630000,14.18,5.68,3,1/7/2012,Value,Large,USD
CURCX,MainStay Cushing Energy Income Fund Class C,Equity Energy,MainStay,33630000,13.98,4.91,3,1/7/2012,Value,Large,USD
CURNX,MainStay Cushing Energy Income Fund Investor Class,Equity Energy,MainStay,33630000,14.23,5.54,5,10/7/2014,Value,Large,USD
CURZX,MainStay Cushing Energy Income Fund Class I,Equity Energy,MainStay,33630000,14.39,5.91,3,1/7/2012,Value,Large,USD
CUSAX,Columbia Acorn USA Fund Advisor Class,Small Growth,Columbia,309890000,16.85,0,3,7/11/2012,Growth,Small,USD
CUSCX,Cullen Small Cap Value Fund Class C,Small Value,Cullen Funds Trust,4180000,10.78,0,1,30/9/2009,Value,Small,USD
CUSEX,Capital Group U.S. Equity Fund,Large Growth,Capital Group,232280000,14.45,1.29,3,31/3/2011,Growth,Large,USD
CUSIX,Cullen Small Cap Value Fund Class I,Small Value,Cullen Funds Trust,4180000,11.05,0,2,30/9/2009,Value,Small,USD
CUSRX,Cullen Small Cap Value Fund Class Retail Class,Small Value,Cullen Funds Trust,4180000,10.92,0,2,30/9/2009,Value,Small,USD
CUSYX,Columbia Acorn USA Fund Institutional 3 Class,Small Growth,Columbia,309890000,16.92,0,4,7/11/2012,Growth,Small,USD
CUTDX,Cutler Emerging Markets Fund,Diversified Emerging Mkts,Cutler,14240000,7.79,1.23,1,30/6/2015,Blend,Large,USD
CUTRX,Columbia U.S. Treasury Index Fund Institutional 2 Class,Intermediate Government,Columbia,828640000,2.11,2.01,3,7/11/2012,Blend,Large,USD
CUTYX,Columbia U.S. Treasury Index Fund Institutional 3 Class,Intermediate Government,Columbia,828640000,2,2.01,2,28/2/2017,Blend,Large,USD
CUURX,Columbia Small Cap Value Fund I Institutional 2 Class,Small Value,Columbia,588080000,12.48,0.55,4,7/11/2012,Value,Small,USD
CUVRX,Columbia Quality Income Fund Advisor Class,Intermediate-Term Bond,Columbia,1900000000,2.62,2.54,4,7/11/2012,Blend,Medium,USD
CVAAX,Calamos Opportunistic Value Fund Class A,Large Value,Calamos,46120000,11.02,0.4,2,1/1/2002,Blend,Large,USD
CVACX,Calamos Opportunistic Value Fund Class C,Large Value,Calamos,46120000,10.88,0.47,2,1/1/2002,Blend,Large,USD
CVAIX,Calamos Opportunistic Value Fund Institutional Class,Large Value,Calamos,46120000,11.06,0.93,2,28/2/2002,Blend,Large,USD
CVAYX,Columbia AMT-Free Virginia Intermediate Muni Bond Fund Institutional 3 Class,Muni Single State Interm,Columbia,139690000,2.39,3.04,4,28/2/2017,Blend,Medium,USD
CVBRX,Columbia Convertible Securities Fund Class R,Convertibles,Columbia,1110000000,11.82,1.7,4,15/11/2011,Blend,Large,USD
CVCFX,Pioneer Disciplined Value Fund Class C,Large Value,Pioneer Investments,425110000,13.42,0,2,15/7/2008,Value,Large,USD
CVERX,Columbia Select Mid Cap Value Fund Institutional 2 Class,Mid-Cap Value,Columbia,1550000000,16.43,0.79,3,7/11/2012,Value,Medium,USD
CVFCX,Pioneer Disciplined Value Fund Class A,Large Value,Pioneer Investments,425110000,13.53,0.88,3,14/12/2005,Value,Large,USD
CVFYX,Pioneer Disciplined Value Fund Class Y,Large Value,Pioneer Investments,425110000,13.63,1.1,3,29/7/2008,Value,Large,USD
CVGCX,Calamos Growth Fund Class C,Large Growth,Calamos,1440000000,15.55,0,1,2/9/1996,Growth,Large,USD
CVGRX,Calamos Growth Fund Class A,Large Growth,Calamos,1440000000,15.71,0,2,3/9/1990,Growth,Large,USD
CVHAX,Victory CEMP Intl Enh Vol Wtd Idx A,Foreign Large Blend,Victory,12820000,-8.16,2.54,1,18/11/2012,Blend,Large,USD
CVIAX,Virtus Seix Virginia Intermediate Municipal Bond Fund Class A,Muni Single State Interm,Virtus,19610000,0.99,2.33,2,4/5/1993,Blend,Medium,USD
CVIRX,Columbia Dividend Income Fund Advisor Class,Large Value,Columbia,13380000000,11.99,1.88,5,7/11/2012,Value,Large,USD
CVISX,Causeway International Small Cap Fund Investor Class,Foreign Small/Mid Value,Causeway,62370000,11.61,2.6,3,19/10/2014,Value,Medium,USD
CVLCX,Calamos Global Growth & Income Fund Class C,World Allocation,Calamos,165750000,9.31,0,3,23/9/1996,Growth,Large,USD
CVLEX,Cullen Value Fund Retail Class,Large Value,Cullen Funds Trust,38230000,9.69,1.33,3,30/8/2012,Value,Large,USD
CVLFX,Cullen Value Fund Class C,Large Value,Cullen Funds Trust,38230000,9.44,0.59,3,30/8/2012,Value,Large,USD
CVLOX,Calamos Global Growth & Income Fund Class A,World Allocation,Calamos,165750000,9.54,0.73,3,8/9/1996,Growth,Large,USD
CVLVX,Cullen Value Fund Class I,Large Value,Cullen Funds Trust,38230000,9.69,1.56,4,30/8/2012,Value,Large,USD
CVMAX,Calvert Emerging Markets Equity Fund Class A,Diversified Emerging Mkts,Calvert Research and Management,1720000000,11.19,0.73,5,30/10/2012,Growth,Large,USD
CVMCX,Calvert Emerging Markets Equity Fund Class C,Diversified Emerging Mkts,Calvert Research and Management,1720000000,10.95,0.39,5,30/10/2012,Growth,Large,USD
CVMIX,Calvert Emerging Markets Equity Fund Class I,Diversified Emerging Mkts,Calvert Research and Management,1720000000,11.16,1.12,5,30/10/2012,Growth,Large,USD
CVMRX,Calvert Emerging Markets Equity Fund Class R6,Diversified Emerging Mkts,Calvert Research and Management,1720000000,11.26,1.22,5,31/1/2018,Growth,Large,USD
CVMYX,Calvert Emerging Markets Equity Y,Diversified Emerging Mkts,Calvert Investments,360730000,38.96,0.58,5,30/10/2012,Growth,Large,USD
CVQTX,Columbia Disciplined Value Fund Class V,Large Value,Columbia,737580000,9.18,1.54,3,6/3/2011,Value,Large,USD
CVQZX,Columbia Disciplined Value Fund Institutional Class,Large Value,Columbia,737580000,9.3,1.78,3,26/9/2010,Value,Large,USD
CVRAX,CVR Dynamic Allocation Fund Institutional Shares,Tactical Allocation,CVR,15080000,9.79,0,2,29/12/2013,Value,Medium,USD
CVRFX,Pioneer Disciplined Value Fund Class R,Large Value,Pioneer Investments,425110000,13.55,0.67,2,14/12/2005,Value,Large,USD
CVSCX,Calamos Market Neutral Income Fund Class C,Market Neutral,Calamos,7500000000,2.7,0.65,4,15/2/2000,Blend,Large,USD
CVSIX,Calamos Market Neutral Income Fund Class A,Market Neutral,Calamos,7500000000,2.8,1.44,5,3/9/1990,Blend,Large,USD
CVTCX,Calamos Growth & Income Fund Class C,Allocation - 70% to 85% Equity,Calamos,1980000000,11.28,0.78,3,4/8/1996,Blend,Large,USD
CVTRX,Calamos Growth & Income Fund Class A,Allocation - 70% to 85% Equity,Calamos,1980000000,11.46,1.67,4,21/9/1988,Blend,Large,USD
CVVRX,Columbia Small Cap Value Fund I Advisor Class,Small Value,Columbia,588080000,12.45,0.46,4,7/11/2012,Value,Small,USD
CWBCX,American Funds Capital World Bond Fund Class C,World Bond,American Funds,13610000000,2.23,1.36,2,14/3/2001,Value,Small,USD
CWBFX,American Funds Capital World Bond Fund Class A,World Bond,American Funds,13610000000,2.44,2.11,3,3/8/1987,Value,Small,USD
CWCFX,Christopher Weil & Company Core Investment Fund,Large Growth,Christopher Weil,38410000,10.35,0,1,20/12/2011,Growth,Large,USD
CWEYX,Calvert International Equity Y,Foreign Large Value,Calvert Investments,234220000,18.05,2.52,2,30/10/2008,Growth,Large,USD
CWFIX,Chartwell Short Duration High Yield Fund,High Yield Bond,Chartwell Investment Partners,83270000,3.58,3.29,1,14/7/2014,Value,Small,USD
CWGCX,American Funds Capital World Growth and Income Fund Class C,World Large Stock,American Funds,95410000000,11.95,1.32,3,14/3/2001,Growth,Large,USD
CWGFX,American Funds Capital World Growth and Income Fund Class F-1,World Large Stock,American Funds,95410000000,12.14,2.03,3,14/3/2001,Growth,Large,USD
CWGIX,American Funds Capital World Growth and Income Fund Class A,World Large Stock,American Funds,95410000000,12.15,2.09,3,25/3/1993,Growth,Large,USD
CWIAX,American Funds Capital World Growth and Income Fund Class 529-A,World Large Stock,American Funds,95410000000,12.13,2.02,3,14/2/2002,Growth,Large,USD
CWICX,American Funds Capital World Growth and Income Fund Class 529-C,World Large Stock,American Funds,95410000000,11.92,1.27,3,21/2/2002,Growth,Large,USD
CWIEX,American Funds Capital World Growth and Income Fund Class 529-E,World Large Stock,American Funds,95410000000,12.09,1.81,3,3/3/2002,Growth,Large,USD
CWIFX,American Funds Capital World Growth and Income Fund Class 529-F,World Large Stock,American Funds,95410000000,12.19,2.26,3,16/9/2002,Growth,Large,USD
CWMAX,American Funds Washington Mutual Investors Fund Class 529-A,Large Blend,American Funds,1.1306E+11,10.33,1.73,3,14/2/2002,Blend,Large,USD
CWMCX,American Funds Washington Mutual Investors Fund Class 529-C,Large Blend,American Funds,1.1306E+11,10.13,1.03,3,14/2/2002,Blend,Large,USD
CWMEX,American Funds Washington Mutual Investors Fund Class 529-E,Large Blend,American Funds,1.1306E+11,10.29,1.52,3,28/2/2002,Blend,Large,USD
CWMFX,American Funds Washington Mutual Investors Fund Class 529-F-1,Large Blend,American Funds,1.1306E+11,10.4,1.97,4,15/9/2002,Blend,Large,USD
CWPRX,Columbia Global Strategic Equity Fund Advisor Class,World Large Stock,Columbia,628040000,13.21,1.6,4,7/11/2012,Growth,Large,USD
CWSGX,Chartwell Small Cap Growth Fund,Small Growth,Chartwell Investment Partners,21270000,18.39,0,0,15/6/2017,Growth,Medium,USD
CWSIX,Chartwell Small Cap Value Fund,Small Blend,Chartwell Investment Partners,219130000,10.85,0.4,3,15/3/2012,Blend,Small,USD
CWVCX,Calvert International Equity Fund Class C,Foreign Large Blend,Calvert Research and Management,205860000,11.56,0.47,2,28/2/1994,Growth,Large,USD
CWVGX,Calvert International Equity Fund Class A,Foreign Large Blend,Calvert Research and Management,205860000,11.76,1.04,2,1/7/1992,Growth,Large,USD
CWVIX,Calvert International Equity Fund Class I,Foreign Large Blend,Calvert Research and Management,205860000,11.81,1.24,3,25/2/1999,Growth,Large,USD
CWVYX,Calvert International Opportunities Y,Foreign Small/Mid Blend,Calvert Investments,222710000,32.51,1.05,3,30/10/2008,Growth,Medium,USD
CXGCX,Calamos Global Convertible Fund Class I,Convertibles,Calamos,129800000,6.51,2.29,2,30/12/2014,Value,Large,USD
CXHYX,Delaware National High Yield Municipal Bond Fund Class A,High Yield Muni,Delaware Funds by Macquarie,1320000000,3.56,4.2,4,21/9/1986,Blend,Small,USD
CXXRX,Columbia Small Cap Index Fund Institutional 2 Class,Small Blend,Columbia,4120000000,11.62,1.13,4,7/11/2012,Blend,Small,USD
CYBAX,Calvert High Yield Bond Fund Class A,High Yield Bond,Calvert Research and Management,178530000,5.68,4.73,2,31/1/2007,Value,Small,USD
CYBIX,Calvert High Yield Bond Fund Class I,High Yield Bond,Calvert Research and Management,178530000,5.78,5.04,3,8/7/2001,Value,Small,USD
CYBYX,Calvert High Yield Bond Y,High Yield Bond,Calvert Investments,186710000,5.66,4.59,3,28/7/2011,Value,Small,USD
CYLRX,Columbia High Yield Bond Fund Advisor Class,High Yield Bond,Columbia,1510000000,7.67,5.07,4,10/12/2006,Value,Small,USD
CYPIX,ProFunds Consumer Services UltraSector Fund Investor Class,Trading - Leveraged Equity,ProFunds,43410000,19.65,0,4,29/1/2004,Growth,Large,USD
CYPSX,ProFunds Consumer Services UltraSector Fund Service Class,Trading - Leveraged Equity,ProFunds,43410000,19.37,0,3,29/1/2004,Growth,Large,USD
CYSRX,Columbia Acorn USA Fund Institutional 2 Class,Small Growth,Columbia,309890000,16.87,0,4,7/11/2012,Growth,Small,USD
CYYYX,Columbia Thermostat Fund Institutional 3 Class,Allocation - 15% to 30% Equity,Columbia,698770000,5.98,2.14,5,7/11/2012,Growth,Large,USD
CZAMX,Multi-Manager Alternative Strategies Fund Institutional Class,Multialternative,Columbia,512940000,2.4,1.45,2,2/1/2017,Growth,Medium,USD
CZMGX,Multi-Manager Growth Strategies Fund Institutional Class,Large Growth,Columbia,1970000000,17.61,0,3,2/1/2017,Growth,Large,USD
CZMSX,Multi-Manager Small Cap Equity Strategies Fund Institutional Class,Small Growth,Columbia,1850000000,13.52,0.12,2,2/1/2017,Growth,Small,USD
CZMVX,Multi-Manager Value Strategies Fund Institutional Class,Large Value,Columbia,2890000000,12,1.47,4,2/1/2017,Value,Large,USD
CZOVX,Zacks All-Cap Core Fund Institutional Class,Large Blend,Zacks Funds,40250000,12.95,0.4,3,4/12/2005,Blend,Large,USD
DAAFX,Natixis ASG Dynamic Allocation Fund Class A,World Allocation,Natixis Funds,40290000,4.12,1.24,2,29/11/2015,Blend,Large,USD
DAAIX,Dunham Long/Short Credit Fund Class A,Long-Short Credit,Dunham Funds,61540000,2.7,2.06,5,2/1/2007,Value,Small,USD
DAAVX,Dunham Dynamic Macro Fund Class A,Multialternative,Dunham Funds,38890000,7.32,2.05,2,29/4/2010,Blend,Large,USD
DABAX,Delaware Global Value Fund Class A,World Large Stock,Delaware Funds by Macquarie,14070000,11.06,1.46,2,18/12/1997,Value,Large,USD
DABCX,Delaware Global Value Fund Class C,World Large Stock,Delaware Funds by Macquarie,14070000,10.88,0,1,27/9/2001,Value,Large,USD
DABIX,Delaware Global Value Fund Institutional Class,World Large Stock,Delaware Funds by Macquarie,14070000,11.13,1.72,2,18/12/1997,Value,Large,USD
DABJX,Dreyfus Yield Enhancement Strategy Fund Class Y,Multisector Bond,Dreyfus,410470000,3.96,4.46,4,6/3/2014,Value,Small,USD
DABKX,Dreyfus Yield Enhancement Strategy Fund Class I,Multisector Bond,Dreyfus,410470000,3.95,4.41,4,6/3/2014,Value,Small,USD
DABLX,Dreyfus Yield Enhancement Strategy Fund Class C,Multisector Bond,Dreyfus,410470000,3.66,3.37,3,6/3/2014,Value,Small,USD
DABMX,Dreyfus Yield Enhancement Strategy Fund Class A,Multisector Bond,Dreyfus,410470000,3.9,4.1,3,6/3/2014,Value,Small,USD
DACFX,Natixis ASG Dynamic Allocation Fund Class C,World Allocation,Natixis Funds,40290000,4.04,0.04,2,29/11/2015,Blend,Large,USD
DACGX,Dunham Corporate/Government Bond Fund Class A,Intermediate-Term Bond,Dunham Funds,50010000,3.75,2.52,2,2/1/2007,,,USD
DADGX,Dunham Small Cap Growth Fund Class A,Small Growth,Dunham Funds,53010000,20.5,0,3,2/1/2007,Growth,Small,USD
DADHX,Dunham Alternative Dividend Fund Class A,Long-Short Equity,Dunham Funds,8580000,-0.04,4.23,0,30/8/2016,Blend,Large,USD
DAEMX,Dunham Emerging Markets Stock Fund Class A,Diversified Emerging Mkts,Dunham Funds,72030000,11.01,1.61,2,2/1/2007,Blend,Large,USD
DAFGX,Dunham Focused Large Cap Growth Fund Class A,Large Growth,Dunham Funds,105130000,19.81,0,3,7/12/2011,Growth,Large,USD
DAFRX,Dunham Floating Rate Bond Fund Class A,Bank Loan,Dunham Funds,177520000,3.57,4.51,2,31/10/2013,,,USD
DAGVX,Dreyfus Strategic Value Fund Class A,Large Value,Dreyfus,1540000000,9.99,1.64,3,28/9/1995,Value,Large,USD
DAHYX,Dunham High-Yield Bond Fund Class A,High Yield Bond,Dunham Funds,109720000,7.89,4.82,2,2/1/2007,,,USD
DAINX,Dunham International Stock Fund Class A,Foreign Large Blend,Dunham Funds,122390000,9.68,0.87,4,2/1/2007,Blend,Large,USD
DAIOX,Dunham International Opportunity Bond Fund Class A,World Bond,Dunham Funds,36020000,1.34,0.26,1,31/10/2013,,,USD
DAIYX,Dreyfus Inflation Adjusted Securities Fund Class Y,Inflation-Protected Bond,Dreyfus,95580000,2.57,1.88,3,30/6/2013,Blend,Large,USD
DALCX,Dean Mid Cap Value Fund,Mid-Cap Value,Dean Fund,41810000,12.54,0.77,3,27/5/1997,Value,Medium,USD
DALVX,Dunham Large Cap Value Fund Class A,Large Value,Dunham Funds,78700000,11.08,0.83,2,2/1/2007,Value,Large,USD
DAMDX,Dunham Monthly Distribution Fund Class A,Multialternative,Dunham Funds,266790000,2.03,0,3,31/7/2008,Blend,Large,USD
DAPAX,Dreyfus Large Cap Growth Fund Class A,Large Growth,Dreyfus,68490000,14.43,0.02,3,30/12/1986,Growth,Large,USD
DAPIX,Dreyfus Large Cap Growth Fund Class I,Large Growth,Dreyfus,68490000,14.61,0.21,3,31/3/1997,Growth,Large,USD
DAREX,Dunham Real Estate Stock Fund Class A,Real Estate,Dunham Funds,57970000,16.75,1.5,3,2/1/2007,Blend,Medium,USD
DASCX,Dean Small Cap Value Fund,Small Value,Dean Fund,321050000,12.89,1.39,4,27/5/1997,Value,Small,USD
DASVX,Dunham Small Cap Value Fund Class A,Small Value,Dunham Funds,50150000,11.53,0,4,2/1/2007,Value,Small,USD
DAVPX,Davenport Core Fund,Large Growth,Davenport,516230000,14.31,0.43,2,14/1/1998,Growth,Large,USD
DAYFX,Natixis ASG Dynamic Allocation Fund Class Y,World Allocation,Natixis Funds,40290000,4.21,1.44,2,29/11/2015,Blend,Large,USD
DAZIX,Delaware Tax-Free Arizona Fund Institutional Class,Muni Single State Long,Delaware Funds by Macquarie,74630000,2.41,3.52,5,30/12/2013,Value,Medium,USD
DBALX,Davenport Balanced Income Fund,Allocation - 50% to 70% Equity,Davenport,142200000,7.96,2.07,2,30/12/2015,Value,Large,USD
DBBDX,Miller/Howard Drill Bit to Burner Tip Fund Adviser Class Shares,Equity Energy,Miller/Howard Funds Trust,6430000,15.26,0.21,4,30/12/2015,Blend,Medium,USD
DBBEX,Miller/Howard Drill Bit to Burner Tip Fund Class I Shares,Equity Energy,Miller/Howard Funds Trust,6430000,15.3,0.41,4,30/12/2015,Blend,Medium,USD
DBCMX,DoubleLine Strategic Commodity Fund Class I,Commodities Broad Basket,DoubleLine,510430000,9.45,1.1,5,17/5/2015,,,USD
DBEAX,Dreyfus Diversified Emerging Markets Fund Class A,Diversified Emerging Mkts,Dreyfus,222620000,10.71,0.07,3,30/3/2009,Blend,Large,USD
DBECX,Dreyfus Diversified Emerging Markets Fund Class C,Diversified Emerging Mkts,Dreyfus,222620000,10.46,0,2,30/3/2009,Blend,Large,USD
DBFRX,DoubleLine Floating Rate Fund Class I Shares,Bank Loan,DoubleLine,477270000,3.35,5.16,3,31/1/2013,Value,Small,USD
DBICX,DWS Global Macro Fund - Class C,Multialternative,DWS,30090000,4.13,3.48,2,27/2/2001,Value,Large,USD
DBIRX,Dreyfus Bond Market Index Fund Class I,Intermediate-Term Bond,Dreyfus,1140000000,2.92,2.76,2,29/11/1993,Blend,Large,USD
DBISX,DWS Global Macro Fund - Class A,Multialternative,DWS,30090000,4.31,4.25,2,27/2/2001,Value,Large,USD
DBITX,DWS Global Macro Fund - Class R,Multialternative,DWS,30090000,4.26,3.99,2,30/6/2003,Value,Large,USD
DBIVX,DWS Global Macro Fund - Class S,Multialternative,DWS,30090000,4.42,4.45,2,27/2/2005,Value,Large,USD
DBLDX,DoubleLine Long Duration Total Return Bond Fund Class I,Long Government,DoubleLine,80500000,3.48,3.01,5,14/12/2014,Growth,Large,USD
DBLEX,DoubleLine Emerging Markets Fixed Income Fund Class I,Emerging Markets Bond,DoubleLine,1110000000,5.11,3.96,4,5/4/2010,Value,Small,USD
DBLFX,DoubleLine Core Fixed Income Fund Class I,Intermediate-Term Bond,DoubleLine,11490000000,2.96,3.41,5,31/5/2010,Value,Small,USD
DBLGX,DoubleLine Global Bond Fund Class I,World Bond,DoubleLine,1070000000,1.08,1.25,2,16/12/2015,Blend,Medium,USD
DBLLX,DoubleLine Low Duration Emerging Markets Fixed Income Fund Class I,Emerging Markets Bond,DoubleLine,221290000,3.29,2.91,2,6/4/2014,Value,Small,USD
DBLSX,DoubleLine Low Duration Bond Fund Class I,Short-Term Bond,DoubleLine,6920000000,1.74,3.07,4,29/9/2011,Value,Small,USD
DBLTX,DoubleLine Total Return Bond Fund Class I,Intermediate-Term Bond,DoubleLine,50410000000,1.99,3.7,5,5/4/2010,Value,Small,USD
DBMAX,Dreyfus/The Boston Company Small/Mid Cap Growth Fund Class A,Mid-Cap Growth,Dreyfus,2060000000,24.91,0,4,30/3/2009,Growth,Medium,USD
DBMCX,Dreyfus/The Boston Company Small/Mid Cap Growth Fund Class C,Mid-Cap Growth,Dreyfus,2060000000,24.72,0,3,30/3/2009,Growth,Medium,USD
DBMIX,Dreyfus Bond Market Index Fund Investor Shares,Intermediate-Term Bond,Dreyfus,1140000000,2.86,2.52,2,27/4/1994,Blend,Large,USD
DBMYX,Dreyfus/The Boston Company Small/Mid Cap Growth Fund Class Y,Mid-Cap Growth,Dreyfus,2060000000,24.99,0,4,30/6/2013,Growth,Medium,USD
DBMZX,Dreyfus/The Boston Company Small/Mid Cap Growth Fund Class Z,Mid-Cap Growth,Dreyfus,2060000000,25,0,4,18/1/2018,Growth,Medium,USD
DBOAX,Dreyfus Balanced Opportunity Fund Class A,Allocation - 50% to 70% Equity,Dreyfus,310480000,8.42,1.1,4,29/1/2004,Blend,Large,USD
DBOCX,Dreyfus Balanced Opportunity Fund Class C,Allocation - 50% to 70% Equity,Dreyfus,310480000,8.2,0.55,3,29/1/2004,Blend,Large,USD
DBORX,Dreyfus Balanced Opportunity Fund Class I,Allocation - 50% to 70% Equity,Dreyfus,310480000,8.45,1.79,4,29/1/2004,Blend,Large,USD
DBOYX,Dreyfus Balanced Opportunity Fund Class Y,Allocation - 50% to 70% Equity,Dreyfus,310480000,8.46,1.43,4,29/9/2016,Blend,Large,USD
DBOZX,Dreyfus Balanced Opportunity Fund Class Z,Allocation - 50% to 70% Equity,Dreyfus,310480000,8.41,1.3,4,16/12/2004,Blend,Large,USD
DBPIX,DWS Short Duration Fund - Class S,Short-Term Bond,DWS,882300000,2.17,2.84,3,22/12/1998,Value,Medium,USD
DBULX,DoubleLine Ultra Short Bond Fund Class I,Ultrashort Bond,DoubleLine,237520000,0.95,2.26,0,29/6/2016,Value,Medium,USD
DCAAX,Dreyfus California AMT-Free Municipal Bond Fund Class A,Muni California Intermediate,Dreyfus,871480000,2.27,3,4,20/10/2004,Blend,Medium,USD
DCACX,Dreyfus California AMT-Free Municipal Bond Fund Class C,Muni California Intermediate,Dreyfus,871480000,2.15,2.25,2,20/10/2004,Blend,Medium,USD
DCAIX,Dunham Long/Short Credit Fund Class C,Long-Short Credit,Dunham Funds,61540000,2.65,1.76,4,9/12/2004,Value,Small,USD
DCARX,DFA California Municipal Real Return Portfolio Institutional Class,Muni California Intermediate,Dimensional Fund Advisors,134540000,2.3,1.3,0,31/10/2017,Value,Large,USD
DCAVX,Dunham Dynamic Macro Fund Class C,Multialternative,Dunham Funds,38890000,7.04,1.36,2,29/4/2010,Blend,Large,USD
DCAYX,Dreyfus California AMT-Free Municipal Bond Fund Class Y,Muni California Intermediate,Dreyfus,871480000,2.33,3.27,5,30/6/2013,Blend,Medium,USD
DCCAX,Delaware Small Cap Core Fund Class A,Small Blend,Delaware Funds by Macquarie,4510000000,14.58,0.1,4,28/12/1998,Growth,Small,USD
DCCCX,Delaware Small Cap Core Fund Class C,Small Blend,Delaware Funds by Macquarie,4510000000,14.39,0,3,31/7/2005,Growth,Small,USD
DCCGX,Dunham Corporate/Government Bond Fund Class C,Intermediate-Term Bond,Dunham Funds,50010000,3.66,2.05,2,9/12/2004,,,USD
DCCIX,Delaware Small Cap Core Fund Institutional Class,Small Blend,Delaware Funds by Macquarie,4510000000,14.71,0.38,4,28/12/1998,Growth,Small,USD
DCCRX,Delaware Small Cap Core Fund Class R,Small Blend,Delaware Funds by Macquarie,4510000000,14.56,0,4,31/7/2005,Growth,Small,USD
DCDEX,DuPont Capital Emerging Markets Debt Fund Class I,Emerging Markets Bond,DuPont,7280000,6.56,9.22,4,26/9/2013,Growth,Small,USD
DCDGX,Dunham Small Cap Growth Fund Class C,Small Growth,Dunham Funds,53010000,20.26,0,3,9/12/2004,Growth,Small,USD
DCDHX,Dunham Alternative Dividend Fund Class C,Long-Short Equity,Dunham Funds,8580000,-0.19,3.51,0,30/8/2016,Blend,Large,USD
DCEMX,Dunham Emerging Markets Stock Fund Class C,Diversified Emerging Mkts,Dunham Funds,72030000,10.82,0.9,2,9/12/2004,Blend,Large,USD
DCFFX,Destinations Core Fixed Income Fund Class I,Intermediate-Term Bond,Destinations Funds,1770000000,2.48,2.74,0,19/3/2017,,,USD
